No.,US,HK,Crypto
1,AAPL,1299.HK,BTC-USD
2,MSFT,0388.HK,ETH-USD
3,AMZN,1876.HK,LTC-USD
4,NVDA,0016.HK,BCH-USD
5,GOOG,2388.HK,TRX-USD
6,TSLA,0066.HK,BNB-USD
7,META,0011.HK,ADA-USD
8,BRK-B,0688.HK,MATIC-USD
9,XOM,0027.HK,SOL-USD
10,LLY,0291.HK,DOT-USD
11,UNH,0001.HK,SHIB-USD
12,JPM,1113.HK,DOGE-USD
13,V,1929.HK,AVAX-USD
14,JNJ,0762.HK,WBTC-USD
15,PG,0002.HK,ATOM-USD
16,AVGO,0003.HK,
17,MA,0012.HK,
18,HD,1997.HK,
19,CVX,0823.HK,
20,MRK,1972.HK,
21,ABBV,1038.HK,
22,ADBE,0006.HK,
23,COST,0019.HK,
24,PEP,H78.SI,
25,CSCO,0316.HK,
26,WMT,0083.HK,
27,KO,0992.HK,
28,CRM,1821.HK,
29,ACN,6823.HK,
30,TMO,0101.HK,
31,MCD,0004.HK,
32,NFLX,0151.HK,
33,BAC,0288.HK,
34,PFE,0017.HK,
35,ORCL,0293.HK,
36,LIN,2638.HK,
37,CMCSA,0880.HK,
38,ABT,0008.HK,
39,AMD,0683.HK,
40,DHR,0659.HK,
41,INTC,0014.HK,
42,INTU,0023.HK,
43,WFC,0522.HK,
44,TXN,0053.HK,
45,COP,J36.SI,
46,DIS,TIB1.F,
47,CAT,D01.SI,
48,PM,FUTU,
49,VZ,MLCO,
50,LOW,HCM,
